epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,132.708,0.63131,0.49618,0.92723,0.99518,0.92903,0.97175,0.73448,1.02458,0.56909,1.06729,0.00101237,0.00101237,0.00101237
121,133.797,0.60377,0.45917,0.91224,0.99565,0.93106,0.98191,0.78345,0.92121,0.53599,1.03233,0.00100687,0.00100687,0.00100687
122,134.92,0.61558,0.45267,0.90707,0.97491,0.99472,0.995,0.7852,0.92389,0.45856,1.03403,0.00100137,0.00100137,0.00100137
123,136.034,0.55089,0.43998,0.90197,0.98898,0.97335,0.98562,0.74248,0.98722,0.52802,1.03719,0.000995866,0.000995866,0.000995866
124,137.114,0.62669,0.44714,0.90647,0.99846,0.97449,0.97201,0.7319,1.02017,0.53746,1.04789,0.000990365,0.000990365,0.000990365
125,138.186,0.69962,0.50754,0.99006,0.98414,0.97144,0.97104,0.7421,0.97944,0.54782,1.03305,0.000984864,0.000984864,0.000984864
126,139.265,0.70035,0.52211,0.96432,0.98793,0.97236,0.97022,0.7464,1.0177,0.68757,1.08513,0.000979362,0.000979362,0.000979362
127,140.355,0.58088,0.47677,0.92913,0.99174,0.97154,0.97022,0.69925,1.0582,0.74601,1.11129,0.000973861,0.000973861,0.000973861
128,141.49,0.65817,0.46621,0.93041,0.99637,0.95686,0.97025,0.71159,0.98555,0.69319,1.08428,0.00096836,0.00096836,0.00096836
129,142.613,0.61519,0.47794,0.91866,0.99667,0.95408,0.97045,0.74662,0.97754,0.6063,1.06374,0.000962859,0.000962859,0.000962859
130,143.728,0.61509,0.44827,0.91179,0.98548,0.95166,0.97057,0.74487,0.98849,0.5385,1.04816,0.000957358,0.000957358,0.000957358
131,144.846,0.57699,0.44536,0.90638,0.99615,0.92797,0.97186,0.7539,0.98427,0.54057,1.04815,0.000951857,0.000951857,0.000951857
132,145.955,0.57032,0.44148,0.9179,0.99607,0.9285,0.96758,0.74836,0.93416,0.55938,1.04419,0.000946356,0.000946356,0.000946356
133,147.083,0.59507,0.46183,0.90998,0.97993,0.94525,0.95205,0.74681,0.93851,0.58291,1.05196,0.000940855,0.000940855,0.000940855
134,148.163,0.6699,0.52739,1.00579,0.99782,0.94789,0.96854,0.73814,0.96421,0.52388,1.05523,0.000935354,0.000935354,0.000935354
135,149.233,0.65371,0.47905,0.92412,0.9679,0.97162,0.97248,0.72234,0.96466,0.52488,1.05952,0.000929853,0.000929853,0.000929853
136,150.303,0.56973,0.47761,0.91579,0.99423,0.95253,0.97385,0.73331,0.99239,0.54055,1.08822,0.000924352,0.000924352,0.000924352
137,151.398,0.59432,0.46457,0.90777,0.98066,0.95325,0.97731,0.73809,1.01082,0.53621,1.0699,0.00091885,0.00091885,0.00091885
138,152.503,0.68286,0.50354,0.99283,0.97503,0.9588,0.99273,0.74798,0.99079,0.49824,1.06606,0.000913349,0.000913349,0.000913349
139,153.595,0.57486,0.46454,0.942,0.96847,0.975,0.99273,0.7382,0.98547,0.50442,1.0647,0.000907848,0.000907848,0.000907848
140,154.679,0.55453,0.43455,0.9122,0.91693,0.97277,0.99083,0.73401,0.96511,0.55561,1.04822,0.000902347,0.000902347,0.000902347
141,155.809,0.59103,0.43777,0.89819,0.91411,0.97371,0.98313,0.76167,0.93763,0.53009,1.02363,0.000896846,0.000896846,0.000896846
142,156.894,0.56491,0.43977,0.95161,0.954,0.93632,0.98032,0.76363,0.94081,0.53843,1.03194,0.000891345,0.000891345,0.000891345
143,157.967,0.61774,0.44223,0.92923,0.99744,0.94394,0.99083,0.76046,0.93291,0.50838,1.01559,0.000885844,0.000885844,0.000885844
144,159.039,0.66184,0.49864,0.9034,0.93187,0.96503,0.97042,0.75938,0.96302,0.60875,1.03683,0.000880343,0.000880343,0.000880343
145,160.133,0.53715,0.4222,0.88177,0.92274,0.91154,0.93132,0.70836,1.02002,0.68501,1.08507,0.000874842,0.000874842,0.000874842
146,161.221,0.55276,0.40749,0.8735,0.9869,0.8516,0.95858,0.73693,1.03472,0.66994,1.10156,0.00086934,0.00086934,0.00086934
147,162.298,0.59077,0.46091,0.93277,0.9587,0.94156,0.97481,0.75766,0.99546,0.61022,1.06932,0.000863839,0.000863839,0.000863839
148,163.373,0.59295,0.42993,0.92571,0.98952,0.92634,0.97713,0.74674,1.00994,0.63681,1.07093,0.000858338,0.000858338,0.000858338
149,164.467,0.57062,0.42887,0.89502,0.98663,0.92734,0.97648,0.74377,0.98858,0.58846,1.05454,0.000852837,0.000852837,0.000852837
150,165.556,0.60369,0.45056,0.92296,0.94995,0.95116,0.99381,0.74348,0.97353,0.56109,1.04623,0.000847336,0.000847336,0.000847336
151,166.634,0.60167,0.4478,0.93412,0.98118,0.90395,0.9762,0.73319,0.96735,0.5677,1.05899,0.000841835,0.000841835,0.000841835
152,167.706,0.55266,0.46478,0.92604,0.984,0.91226,0.97695,0.73624,0.97413,0.51801,1.05567,0.000836334,0.000836334,0.000836334
